,columns,missing values count
0,Wafer,0
1,Sensor - 1,1
2,Sensor - 2,3
3,Sensor - 3,13
4,Sensor - 4,13
5,Sensor - 5,13
6,Sensor - 6,13
7,Sensor - 7,13
8,Sensor - 8,8
9,Sensor - 9,2
10,Sensor - 10,2
11,Sensor - 11,2
12,Sensor - 12,2
13,Sensor - 13,2
14,Sensor - 14,3
15,Sensor - 15,3
16,Sensor - 16,3
17,Sensor - 17,3
18,Sensor - 18,3
19,Sensor - 19,3
20,Sensor - 20,0
21,Sensor - 21,0
22,Sensor - 22,1
23,Sensor - 23,1
24,Sensor - 24,1
25,Sensor - 25,1
26,Sensor - 26,1
27,Sensor - 27,1
28,Sensor - 28,1
29,Sensor - 29,1
30,Sensor - 30,1
31,Sensor - 31,1
32,Sensor - 32,1
33,Sensor - 33,0
34,Sensor - 34,0
35,Sensor - 35,0
36,Sensor - 36,0
37,Sensor - 37,0
38,Sensor - 38,0
39,Sensor - 39,0
40,Sensor - 40,0
41,Sensor - 41,14
42,Sensor - 42,14
43,Sensor - 43,0
44,Sensor - 44,0
45,Sensor - 45,0
46,Sensor - 46,0
47,Sensor - 47,0
48,Sensor - 48,0
49,Sensor - 49,0
50,Sensor - 50,0
51,Sensor - 51,0
52,Sensor - 52,0
53,Sensor - 53,0
54,Sensor - 54,1
55,Sensor - 55,1
56,Sensor - 56,1
57,Sensor - 57,1
58,Sensor - 58,1
59,Sensor - 59,1
60,Sensor - 60,5
61,Sensor - 61,5
62,Sensor - 62,5
63,Sensor - 63,5
64,Sensor - 64,5
65,Sensor - 65,5
66,Sensor - 66,5
67,Sensor - 67,5
68,Sensor - 68,5
69,Sensor - 69,5
70,Sensor - 70,5
71,Sensor - 71,5
72,Sensor - 72,5
73,Sensor - 73,529
74,Sensor - 74,529
75,Sensor - 75,5
76,Sensor - 76,24
77,Sensor - 77,24
78,Sensor - 78,24
79,Sensor - 79,24
80,Sensor - 80,24
81,Sensor - 81,24
82,Sensor - 82,24
83,Sensor - 83,24
84,Sensor - 84,1
85,Sensor - 85,2
86,Sensor - 86,610
87,Sensor - 87,0
88,Sensor - 88,0
89,Sensor - 89,0
90,Sensor - 90,51
91,Sensor - 91,51
92,Sensor - 92,5
93,Sensor - 93,2
94,Sensor - 94,2
95,Sensor - 95,5
96,Sensor - 96,5
97,Sensor - 97,5
98,Sensor - 98,5
99,Sensor - 99,5
100,Sensor - 100,5
101,Sensor - 101,5
102,Sensor - 102,5
103,Sensor - 103,5
104,Sensor - 104,2
105,Sensor - 105,2
106,Sensor - 106,5
107,Sensor - 107,5
108,Sensor - 108,5
109,Sensor - 109,5
110,Sensor - 110,288
111,Sensor - 111,288
112,Sensor - 112,288
113,Sensor - 113,556
114,Sensor - 114,0
115,Sensor - 115,0
116,Sensor - 116,0
117,Sensor - 117,0
118,Sensor - 118,0
119,Sensor - 119,24
120,Sensor - 120,0
121,Sensor - 121,0
122,Sensor - 122,3
123,Sensor - 123,3
124,Sensor - 124,3
125,Sensor - 125,3
126,Sensor - 126,3
127,Sensor - 127,3
128,Sensor - 128,3
129,Sensor - 129,3
130,Sensor - 130,3
131,Sensor - 131,3
132,Sensor - 132,3
133,Sensor - 133,3
134,Sensor - 134,3
135,Sensor - 135,3
136,Sensor - 136,0
137,Sensor - 137,1
138,Sensor - 138,3
139,Sensor - 139,13
140,Sensor - 140,13
141,Sensor - 141,13
142,Sensor - 142,13
143,Sensor - 143,13
144,Sensor - 144,8
145,Sensor - 145,2
146,Sensor - 146,2
147,Sensor - 147,2
148,Sensor - 148,2
149,Sensor - 149,2
150,Sensor - 150,3
151,Sensor - 151,3
152,Sensor - 152,3
153,Sensor - 153,3
154,Sensor - 154,3
155,Sensor - 155,3
156,Sensor - 156,0
157,Sensor - 157,0
158,Sensor - 158,770
159,Sensor - 159,770
160,Sensor - 160,1
161,Sensor - 161,1
162,Sensor - 162,1
163,Sensor - 163,1
164,Sensor - 164,1
165,Sensor - 165,1
166,Sensor - 166,1
167,Sensor - 167,1
168,Sensor - 168,1
169,Sensor - 169,1
170,Sensor - 170,1
171,Sensor - 171,0
172,Sensor - 172,0
173,Sensor - 173,0
174,Sensor - 174,0
175,Sensor - 175,0
176,Sensor - 176,0
177,Sensor - 177,0
178,Sensor - 178,0
179,Sensor - 179,14
180,Sensor - 180,0
181,Sensor - 181,0
182,Sensor - 182,0
183,Sensor - 183,0
184,Sensor - 184,0
185,Sensor - 185,0
186,Sensor - 186,0
187,Sensor - 187,0
188,Sensor - 188,0
189,Sensor - 189,0
190,Sensor - 190,0
191,Sensor - 191,1
192,Sensor - 192,1
193,Sensor - 193,1
194,Sensor - 194,1
195,Sensor - 195,1
196,Sensor - 196,1
197,Sensor - 197,5
198,Sensor - 198,5
199,Sensor - 199,5
200,Sensor - 200,5
201,Sensor - 201,5
202,Sensor - 202,5
203,Sensor - 203,5
204,Sensor - 204,5
205,Sensor - 205,5
206,Sensor - 206,5
207,Sensor - 207,5
208,Sensor - 208,5
209,Sensor - 209,5
210,Sensor - 210,5
211,Sensor - 211,24
212,Sensor - 212,24
213,Sensor - 213,24
214,Sensor - 214,24
215,Sensor - 215,24
216,Sensor - 216,24
217,Sensor - 217,24
218,Sensor - 218,24
219,Sensor - 219,1
220,Sensor - 220,2
221,Sensor - 221,610
222,Sensor - 222,0
223,Sensor - 223,0
224,Sensor - 224,0
225,Sensor - 225,51
226,Sensor - 226,51
227,Sensor - 227,5
228,Sensor - 228,2
229,Sensor - 229,2
230,Sensor - 230,5
231,Sensor - 231,5
232,Sensor - 232,5
233,Sensor - 233,5
234,Sensor - 234,5
235,Sensor - 235,5
236,Sensor - 236,5
237,Sensor - 237,5
238,Sensor - 238,5
239,Sensor - 239,2
240,Sensor - 240,2
241,Sensor - 241,5
242,Sensor - 242,5
243,Sensor - 243,5
244,Sensor - 244,5
245,Sensor - 245,288
246,Sensor - 246,288
247,Sensor - 247,288
248,Sensor - 248,556
249,Sensor - 249,0
250,Sensor - 250,0
251,Sensor - 251,0
252,Sensor - 252,0
253,Sensor - 253,0
254,Sensor - 254,24
255,Sensor - 255,0
256,Sensor - 256,0
257,Sensor - 257,3
258,Sensor - 258,3
259,Sensor - 259,3
260,Sensor - 260,3
261,Sensor - 261,3
262,Sensor - 262,3
263,Sensor - 263,3
264,Sensor - 264,3
265,Sensor - 265,3
266,Sensor - 266,3
267,Sensor - 267,3
268,Sensor - 268,3
269,Sensor - 269,3
270,Sensor - 270,3
271,Sensor - 271,0
272,Sensor - 272,1
273,Sensor - 273,3
274,Sensor - 274,13
275,Sensor - 275,13
276,Sensor - 276,13
277,Sensor - 277,13
278,Sensor - 278,13
279,Sensor - 279,8
280,Sensor - 280,2
281,Sensor - 281,2
282,Sensor - 282,2
283,Sensor - 283,2
284,Sensor - 284,2
285,Sensor - 285,3
286,Sensor - 286,3
287,Sensor - 287,3
288,Sensor - 288,3
289,Sensor - 289,3
290,Sensor - 290,3
291,Sensor - 291,0
292,Sensor - 292,0
293,Sensor - 293,770
294,Sensor - 294,770
295,Sensor - 295,1
296,Sensor - 296,1
297,Sensor - 297,1
298,Sensor - 298,1
299,Sensor - 299,1
300,Sensor - 300,1
301,Sensor - 301,1
302,Sensor - 302,1
303,Sensor - 303,1
304,Sensor - 304,1
305,Sensor - 305,1
306,Sensor - 306,0
307,Sensor - 307,0
308,Sensor - 308,0
309,Sensor - 309,0
310,Sensor - 310,0
311,Sensor - 311,0
312,Sensor - 312,0
313,Sensor - 313,0
314,Sensor - 314,14
315,Sensor - 315,14
316,Sensor - 316,0
317,Sensor - 317,0
318,Sensor - 318,0
319,Sensor - 319,0
320,Sensor - 320,0
321,Sensor - 321,0
322,Sensor - 322,0
323,Sensor - 323,0
324,Sensor - 324,0
325,Sensor - 325,0
326,Sensor - 326,0
327,Sensor - 327,1
328,Sensor - 328,1
329,Sensor - 329,1
330,Sensor - 330,1
331,Sensor - 331,1
332,Sensor - 332,1
333,Sensor - 333,5
334,Sensor - 334,5
335,Sensor - 335,5
336,Sensor - 336,5
337,Sensor - 337,5
338,Sensor - 338,5
339,Sensor - 339,5
340,Sensor - 340,5
341,Sensor - 341,5
342,Sensor - 342,5
343,Sensor - 343,5
344,Sensor - 344,5
345,Sensor - 345,5
346,Sensor - 346,529
347,Sensor - 347,529
348,Sensor - 348,5
349,Sensor - 349,24
350,Sensor - 350,24
351,Sensor - 351,24
352,Sensor - 352,24
353,Sensor - 353,24
354,Sensor - 354,24
355,Sensor - 355,24
356,Sensor - 356,24
357,Sensor - 357,1
358,Sensor - 358,2
359,Sensor - 359,610
360,Sensor - 360,0
361,Sensor - 361,0
362,Sensor - 362,0
363,Sensor - 363,51
364,Sensor - 364,51
365,Sensor - 365,5
366,Sensor - 366,2
367,Sensor - 367,2
368,Sensor - 368,5
369,Sensor - 369,5
370,Sensor - 370,5
371,Sensor - 371,5
372,Sensor - 372,5
373,Sensor - 373,5
374,Sensor - 374,5
375,Sensor - 375,5
376,Sensor - 376,5
377,Sensor - 377,2
378,Sensor - 378,2
379,Sensor - 379,5
380,Sensor - 380,5
381,Sensor - 381,5
382,Sensor - 382,5
383,Sensor - 383,288
384,Sensor - 384,288
385,Sensor - 385,288
386,Sensor - 386,556
387,Sensor - 387,0
388,Sensor - 388,0
389,Sensor - 389,0
390,Sensor - 390,0
391,Sensor - 391,0
392,Sensor - 392,24
393,Sensor - 393,0
394,Sensor - 394,0
395,Sensor - 395,3
396,Sensor - 396,3
397,Sensor - 397,3
398,Sensor - 398,3
399,Sensor - 399,3
400,Sensor - 400,3
401,Sensor - 401,3
402,Sensor - 402,3
403,Sensor - 403,3
404,Sensor - 404,3
405,Sensor - 405,3
406,Sensor - 406,3
407,Sensor - 407,3
408,Sensor - 408,3
409,Sensor - 409,0
410,Sensor - 410,1
411,Sensor - 411,3
412,Sensor - 412,13
413,Sensor - 413,13
414,Sensor - 414,13
415,Sensor - 415,13
416,Sensor - 416,13
417,Sensor - 417,8
418,Sensor - 418,2
419,Sensor - 419,2
